particle_id,x,y,width_px,height_px,diameter_px,diameter_nm,area_px2,circularity
1,39,0,19,11,15.0,15.0,137.0,0.791858767692259
2,101,0,47,59,53.0,53.0,1102.0,0.37769704441649354
3,160,0,19,11,15.0,15.0,113.5,0.5774567313299571
4,99,1,18,24,21.0,21.0,273.5,0.776555456537816
5,0,6,9,23,16.0,16.0,108.0,0.5058142354414108
6,75,9,24,30,27.0,27.0,457.0,0.768835022033819
7,4,10,41,83,62.0,62.0,1585.0,0.25484623859592576
8,152,21,22,23,22.5,22.5,383.5,0.7431785214156729
9,225,27,37,47,42.0,42.0,971.5,0.6291764977244452
10,46,30,24,23,23.5,23.5,374.5,0.7864680895850542
11,198,35,26,28,27.0,27.0,475.0,0.8278821755199656
12,71,46,22,23,22.5,22.5,383.0,0.8803118155286588
13,125,54,21,27,24.0,24.0,364.0,0.8003701393662975
14,363,60,38,35,36.5,36.5,761.0,0.6315450046237943
15,209,71,29,26,27.5,27.5,523.5,0.8592816171418133
16,272,82,31,29,30.0,30.0,591.0,0.8044552398151341
17,135,83,24,24,24.0,24.0,420.5,0.8391190322377717
18,309,83,23,25,24.0,24.0,367.0,0.8143425576672931
19,81,86,25,25,25.0,25.0,448.0,0.8055570851026885
20,335,86,24,26,25.0,25.0,410.0,0.7803605714558892
21,364,96,24,25,24.5,24.5,445.5,0.8633273357267173
22,191,97,28,49,38.5,38.5,672.0,0.4043759720952109
23,417,110,22,34,28.0,28.0,464.0,0.6825519567539113
24,70,114,39,38,38.5,38.5,694.0,0.47814054735301553
25,318,115,41,33,37.0,37.0,839.0,0.6869951327925516
26,386,116,37,35,36.0,36.0,769.5,0.7188390370195759
27,173,120,23,24,23.5,23.5,372.0,0.7667202493776937
28,30,123,26,46,36.0,36.0,593.0,0.34783643289331134
29,0,125,30,48,39.0,39.0,662.5,0.3898947198055963
30,227,129,31,27,29.0,29.0,568.0,0.8417765574423046
31,100,134,31,48,39.5,39.5,930.0,0.6284501888310144
32,144,137,19,19,19.0,19.0,221.0,0.7947683733073088
